medal_type,medal_code,medal_date,name,country_code,gender,discipline,event,event_type,url_event,code,age
Bronze,3,2024-08-08,Luis Alberto ORTA SANCHEZ,CUB,M,Wrestling,Men's Greco-Roman 67kg,HATH,/en/paris-2024/results/wrestling/men-s-greco-roman-67kg/repf000200--,1571498,29.0
Gold,1,2024-08-08,Semen Sergeevich NOVIKOV,BUL,M,Wrestling,Men's Greco-Roman 87kg,HATH,/en/paris-2024/results/wrestling/men-s-greco-roman-87kg/fnl-000100--,1559471,26.0
Silver,2,2024-08-08,Alireza MOHMADIPIANI,IRI,M,Wrestling,Men's Greco-Roman 87kg,HATH,/en/paris-2024/results/wrestling/men-s-greco-roman-87kg/fnl-000100--,1544880,21.0
Bronze,3,2024-08-08,Zhan BELENIUK,UKR,M,Wrestling,Men's Greco-Roman 87kg,HATH,/en/paris-2024/results/wrestling/men-s-greco-roman-87kg/repf000100--,1550116,33.0
Bronze,3,2024-08-08,Turpal Ali BISULTANOV,DEN,M,Wrestling,Men's Greco-Roman 87kg,HATH,/en/paris-2024/results/wrestling/men-s-greco-roman-87kg/repf000200--,1879518,22.0
Gold,1,2024-08-08,FUJINAMI Akari,JPN,W,Wrestling,Women's Freestyle 53kg,HATH,/en/paris-2024/results/wrestling/women-s-freestyle-53kg/fnl-000100--,1939711,20.0
Silver,2,2024-08-08,Lucia Yamileth YEPEZ GUZMAN,ECU,W,Wrestling,Women's Freestyle 53kg,HATH,/en/paris-2024/results/wrestling/women-s-freestyle-53kg/fnl-000100--,1960228,23.0
Bronze,3,2024-08-08,CHOE Hyo Gyong,PRK,W,Wrestling,Women's Freestyle 53kg,HATH,/en/paris-2024/results/wrestling/women-s-freestyle-53kg/repf000100--,1980149,24.0
Bronze,3,2024-08-08,PANG Qianyu,CHN,W,Wrestling,Women's Freestyle 53kg,HATH,/en/paris-2024/results/wrestling/women-s-freestyle-53kg/repf000200--,1920006,27.0
Gold,1,2024-08-09,Canada,CAN,M,Athletics,Men's 4 x 100m Relay,TEAM,/en/paris-2024/results/athletics/men-s-4-x-100m-relay/fnl-000100--,ATHM4X100M--CAN01,
Silver,2,2024-08-09,South Africa,RSA,M,Athletics,Men's 4 x 100m Relay,TEAM,/en/paris-2024/results/athletics/men-s-4-x-100m-relay/fnl-000100--,ATHM4X100M--RSA01,
Bronze,3,2024-08-09,Great Britain,GBR,M,Athletics,Men's 4 x 100m Relay,TEAM,/en/paris-2024/results/athletics/men-s-4-x-100m-relay/fnl-000100--,ATHM4X100M--GBR01,
Gold,1,2024-08-09,Rai BENJAMIN,USA,M,Athletics,Men's 400m Hurdles,ATH,/en/paris-2024/results/athletics/men-s-400m-hurdles/fnl-000100--,1960684,26.0
Silver,2,2024-08-09,Karsten WARHOLM,NOR,M,Athletics,Men's 400m Hurdles,ATH,/en/paris-2024/results/athletics/men-s-400m-hurdles/fnl-000100--,1894095,28.0
Bronze,3,2024-08-09,Alison dos SANTOS,BRA,M,Athletics,Men's 400m Hurdles,ATH,/en/paris-2024/results/athletics/men-s-400m-hurdles/fnl-000100--,1951913,24.0
Gold,1,2024-08-09,Jordan Alejandro DIAZ FORTUN,ESP,M,Athletics,Men's Triple Jump,ATH,/en/paris-2024/results/athletics/men-s-triple-jump/fnl-000100--,1904099,23.0
